"SPName","FoundInCSharp","CSharpFiles"
"sp_GetFeeCollectionSummariesPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeDashboard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeDashboardRepository.cs"
"sp_GetFeeDiscountsPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeInvoiceItemsPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeInvoiceList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeLedgerPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeePaymentsPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeRefundsPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeStructureList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFeeWaiversPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetFineRulesPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetLateFeeRulesPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetMonthlyCollectionReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetRefundReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetStudentFeeAssignmentsPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
"sp_GetStudentLedgerReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetWaiverReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetGuardianAttendance","False",""
"sp_GetGuardianChildren","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Guardian\GuardianRepository.cs"
"sp_GetGuardianDashboard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Guardian\GuardianRepository.cs"
"sp_GetGuardianDetails","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Guardian\GuardianRepository.cs"
"sp_GetGuardianFees","False",""
"sp_GetGuardianLeaveApplications","False",""
"sp_GetGuardianList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Guardian\GuardianRepository.cs"
"sp_GetGuardianNotifications","False",""
"sp_GetGuardianResults","False",""
"sp_VerifyGuardianDataIntegrity","False",""
"sp_GetEmployeeIdCardBulkData","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Identity\IdCardRepository.cs"
"sp_GetEmployeeIdCardList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Identity\IdCardRepository.cs"
"sp_GetStudentIdCardBulkData","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Identity\IdCardRepository.cs"
"sp_GetStudentIdCardList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Identity\IdCardRepository.cs"
"sp_BulkImportMarks","False",""
"sp_GetTeacherExportSheet","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\TeacherResultRepository.cs"
"sp_GetTeacherMarksEntrySheet","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\TeacherResultRepository.cs"
"sp_GetTeacherResultSummary","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\TeacherResultRepository.cs"
"sp_LockMarksEntry","False",""
"SP_MarkEntry_GetGrid","False",""
"sp_SaveMarks","False",""
