"SPName","FoundInCSharp","CSharpFiles"
"sp_GetResultSummary","True","System.Collections.Hashtable"
"sp_GetStudentResults","True","System.Collections.Hashtable"
"sp_GetTranscript","False",""
"sp_PublishResults","True","System.Collections.Hashtable"
"sp_RecalculateResults","True","System.Collections.Hashtable"
"sp_UnpublishResults","True","System.Collections.Hashtable"
"sp_CalculateExamRanking","False",""
"sp_GetExamsForAdmin","False",""
"sp_GetMarkEntrySheet","False",""
"sp_GetRoleList","False",""
"sp_GetClassRoutineGrid","True","System.Collections.Hashtable"
"sp_GetRoomScheduleGrid","True","System.Collections.Hashtable"
"sp_GetRoomUtilization","True","System.Collections.Hashtable"
"sp_GetRoutineAnalytics","True","System.Collections.Hashtable"
"sp_GetRoutineDashboard","True","System.Collections.Hashtable"
"sp_GetRoutineEntriesPaged","True","System.Collections.Hashtable"
"sp_GetTeacherLoadSummary","True","System.Collections.Hashtable"
"sp_GetTeacherRoutineGrid","True","System.Collections.Hashtable"
"sp_GetStudentAssignmentsPaged","False",""
"sp_GetStudentInvoicesPaged","True","System.Collections.Hashtable"
"sp_GetStudentLedgerPaged","True","System.Collections.Hashtable"
"sp_GetStudentLibraryPaged","False",""
"sp_GetStudentNotificationsPaged","False",""
"sp_GetStudentPaymentsPaged","True","System.Collections.Hashtable"
"SP_System_DashboardMetrics","True","System.Collections.Hashtable"
"SP_System_DatabaseHealth","True","System.Collections.Hashtable"
"SP_System_VerifyStoredProcedures","False",""
"sp_GetTeacherAssignedExams","True","System.Collections.Hashtable"
"sp_GetTeacherAssignedSubjects","True","System.Collections.Hashtable"
"sp_GetTeacherDashboardMarkStatus","False",""
"sp_GetTeacherDashboardPendingResults","False",""
"sp_GetTeacherDashboardSchedule","False",""
"sp_GetTeacherList","False",""
"sp_GetUserList","False",""
